No,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,cluster,product_name,certainty,anomaly
1,28.57,64.29,14.29,3.57,0.0,2243.0,2267.85,96.43,5,Banana Chips Sweetened (Whole),1.0,0
2,17.86,60.71,17.86,17.86,0.635,1941.0,2032.23,96.43,5,Peanuts,0.89,1
3,57.14,17.86,3.57,17.86,1.22428,2540.0,2835.7,92.86,0,Organic Salted Nut Mix,1.0,0
7,18.75,57.81,15.62,14.06,0.1397,1833.0,1953.04,90.62,5,Organic Muesli,0.99,0
12,36.67,36.67,3.33,16.67,1.60782,2230.0,2336.91,90.01,2,Zen Party Mix,0.69,1
15,18.18,60.0,21.82,14.55,0.02286,1824.0,1976.37,92.73,5,Cinnamon Nut Granola,0.98,1
16,60.71,17.86,3.57,14.29,0.01016,2632.0,2914.24,92.86,0,Organic Hazelnuts,1.0,0
19,5.95,66.67,2.38,16.67,0.0254,1096.0,1648.8300000000004,89.29,2,Organic Oat Groats,0.97,1
20,17.5,42.5,32.5,7.5,0.28448,1464.0,1532.5,67.5,7,Energy Power Mix,1.0,0
21,33.33,46.67,30.0,13.33,0.46482,2092.0,2319.87,93.33,5,Antioxidant Mix - Berries & Chocolate,0.98,0
22,10.91,69.09,27.27,10.91,0.02286,1674.0,1785.49,90.91,5,Organic Quinoa Coconut Granola With Mango,1.0,0
23,50.0,23.33,6.67,6.67,1.27,2372.0,2460.0,80.0,9,Fire Roasted Hatch Green Chile Almonds,0.77,1
24,20.0,60.0,33.33,8.89,0.19812,1954.0,1951.13,88.89,5,Peanut Butter Power Chews,0.99,0
26,22.22,57.41,5.56,12.96,0.28194,1548.0,2062.87,92.59,2,Organic Unswt Berry Coconut Granola,0.99,1
27,46.67,30.0,6.67,16.67,1.016,2372.0,2613.52,93.34,0,Roasted Salted Black Pepper Cashews,1.0,0
28,43.33,30.0,6.67,16.67,1.35382,2372.0,2483.26,90.0,0,Thai Curry Roasted Cashews,0.99,0
29,46.67,23.33,3.33,20.0,2.032,2230.0,2556.74,90.0,0,Wasabi Tamari Almonds,0.94,1
31,6.67,64.44,11.11,13.33,0.01016,1490.0,1582.2200000000007,84.44,10,Organic Red Quinoa,0.51,1
32,35.0,52.5,37.5,5.0,0.127,2092.0,2342.5,92.5,5,Dark Chocolate Coconut Chews,0.99,0
34,21.57,58.82,3.92,11.76,0.27432,1887.0,2041.09,92.15,2,"Organic Unsweetened Granola, Cinnamon Almond",0.67,0
35,9.09,70.91,29.09,10.91,0.04572,1674.0,1745.45,90.91,5,Organic Blueberry Almond Granola,1.0,0
38,65.0,24.0,7.0,6.0,0.09398,2761.0,3045.0,95.0,0,Organic Coconut Chips,1.0,0
42,17.86,64.29,21.43,10.71,0.04572,1941.0,1971.54,92.86,5,Aunt Ginger's Snappy Granola,1.0,0
43,35.0,50.0,37.5,7.5,1.651,2197.0,2342.5,92.5,5,Dark Chocolate Sea Salt & Turbinado Almonds,0.98,0
52,5.32,53.19,8.51,17.02,0.05334,1335.0,1401.05,75.53,2,Organic Garbanzo Beans,0.97,1
57,1.11,68.89,8.89,28.89,0.055879999999999985,1582.0,1705.5500000000004,98.89,2,Organic Yellow Split Peas,0.98,1
61,25.45,58.18,9.09,10.91,0.254,2054.0,2167.08,94.54,5,Coconut Almond Granola,1.0,0
62,18.18,63.64,10.91,10.91,0.254,1904.0,1976.37,92.73,5,Super Nutty Granola,1.0,0
63,14.55,67.27,12.73,10.91,0.254,1904.0,1896.51,92.73,5,Maple Almond Granola,1.0,0
64,4.55,70.91,23.64,10.91,0.18542,1523.0,1568.39,86.36999999999998,5,35% Fruit And Fiber Muesli,0.98,0
67,9.23,60.0,1.54,13.85,1.13284,1611.0,1615.42,83.08,2,Tricolor Tortellini,0.94,0
72,1.72,60.34,5.17,13.79,2.75844,1297.0,1327.29,75.85,2,10-Grain Pancake Mix,0.98,0
79,10.91,74.55,25.45,9.09,0.254,1824.0,1847.37,94.55,5,Granola Cranberry And Acai,1.0,0
82,42.86,25.0,14.29,25.0,0.54356,2389.0,2521.54,92.86,0,"Peanuts, Mixed Nuts",0.98,0
87,50.0,17.86,3.57,28.57,1.13284,2389.0,2739.31,96.43,0,"Foods, Spanish Peanuts",1.0,0
88,46.43,28.57,3.57,21.43,1.08966,2389.0,2660.77,96.43,0,"Foods, Honey Roasted Nut Mix",1.0,0
89,57.14,21.43,3.57,21.43,1.08966,2766.0,2957.08,100.0,0,Roasted Salted Sunflower Seeds,1.0,0
90,57.14,21.43,3.57,17.86,0.58928,2540.0,2896.39,96.43,0,"Foods, Deluxe Nut Mix",1.0,0
91,28.0,60.0,32.0,12.0,0.2032,2176.0,2316.0,100.0,5,"Foods, Honey Roast Nuts & Fruit Mix",0.99,0
94,26.67,46.67,33.33,13.33,0.127,1812.0,2060.13,86.67,5,Organic Trail Mix,0.75,1
97,46.67,13.33,3.33,30.0,0.04318,2510.0,2556.74,90.0,0,Organic Raw Pumpkin Seeds,0.98,1
104,1.92,51.92,5.77,25.0,2.29616,1289.0,1382.52,78.84,2,Curry Lentil Soup Mix,0.99,1
105,1.43,57.14,8.57,22.86,1.81356,1314.0,1415.77,81.43,2,Split Pea Soup Mix,0.99,1
106,6.67,56.67,26.67,10.0,0.71882,1255.0,1393.52,73.34,7,Whole Wheat 'N Honey Fig Bars,0.79,1
107,26.67,53.33,36.67,10.0,0.21082,1954.0,2116.74,90.0,5,Chocolate Nut Crunch,1.0,0
109,27.5,60.0,57.5,7.5,0.09652,2197.0,2220.0,95.0,5,Milk Chocolate Peanut Butter Malt Balls,1.0,0
110,41.18,17.65,2.94,26.47,0.97028,2092.0,2356.06,85.3,0,Organic Tamari Pumpkin Seed,0.96,1
111,20.0,72.5,47.5,5.0,1.143,2092.0,2097.5,97.5,5,Yogurt Pretzels,0.88,0
120,16.36,60.0,16.36,12.73,0.02286,1749.0,1874.45,89.09,5,Swiss-Style Muesli,1.0,0
144,2.22,71.11,2.22,15.56,0.02794,1674.0,1559.9699999999998,88.89,10,Organic Harvest Pilaf,0.74,0
148,0.0,83.33,66.67,0.0,0.0,1255.0,1416.61,83.33,12,Cranberries,1.0,0
149,0.0,62.5,52.5,2.5,0.0,1046.0,1105.0,65.0,12,Turkish Apricots,1.0,0
